CSR Name,CSR Address,CSR Width,Reset Value,Export from Module (Y/N),Volatile (Y/N)
mvendorid,F11,32,BEEF_C0DE,N,N
marchid,F12,32,0123_4567,N,N
mimpid,F13,32,0000_0001,N,N
mhartid,F14,32,0,N,N
mconfigptr,F15,32,0,N,N
mstatus,300,32,1800,Y,Y
mstatush,310,32,0,N,N
misa,301,32,4000_0100,N,N
medeleg,302,32,0,N,N
mideleg,303,32,0,N,N
mie,304,32,0,N,N
mtvec,305,32,0,Y,N
medelegh,312,32,0,N,N
mscratch,340,32,0,N,N
mepc,341,32,0,Y,Y
mcause,342,32,0,Y,Y
mtval,343,32,0,Y,Y
mip,344,32,0,N,N
mtinst,34A,32,0,N,N
mtval2,34B,32,0,N,N
menvcfg,30A,32,0,N,N
menvcfgh,31A,32,0,N,N
mseccfg,747,32,0,N,N
mseccfgh,757,32,0,N,N
pmpcfg0,3A0,32,0,N,N
pmpcfg1,3A1,32,0,N,N
pmpcfg2,3A2,32,0,N,N
pmpcfg3,3A3,32,0,N,N
pmpcfg4,3A4,32,0,N,N
pmpcfg5,3A5,32,0,N,N
pmpcfg6,3A6,32,0,N,N
pmpcfg7,3A7,32,0,N,N
pmpcfg8,3A8,32,0,N,N
pmpcfg9,3A9,32,0,N,N
pmpcfg10,3AA,32,0,N,N
pmpcfg11,3AB,32,0,N,N
pmpcfg12,3AC,32,0,N,N
pmpcfg13,3AD,32,0,N,N
pmpcfg14,3AE,32,0,N,N
pmpcfg15,3AF,32,0,N,N
pmpaddr0,3B0,32,0,N,N
pmpaddr1,3B1,32,0,N,N
pmpaddr2,3B2,32,0,N,N
pmpaddr3,3B3,32,0,N,N
pmpaddr4,3B4,32,0,N,N
pmpaddr5,3B5,32,0,N,N
pmpaddr6,3B6,32,0,N,N
pmpaddr7,3B7,32,0,N,N
pmpaddr8,3B8,32,0,N,N
pmpaddr9,3B9,32,0,N,N
pmpaddr10,3BA,32,0,N,N
pmpaddr11,3BB,32,0,N,N
